<<<<<<<======= Running simulator   1 ========>>>>>>>
timestamp: 3.9 seconds, process name:G3, process id:  84, page referenced:   4, status: page already in memory
timestamp: 3.9 seconds, process name:V2, process id:  73, page referenced:   4, status: page already in memory
##########################################################################################
<timestamp:4, process name:X1, process status:Exit, size in pages:11, service duration:2, memory map:XHGVXHBXXDGDBXXXGVXGDVVDHDBHXDXGDVXDVHDHXB.HX.XB.DHB..DB.DHB..DHB.DHXB..............................>
<timestamp:4, process name:V2, process status:Exit, size in pages:11, service duration:1, memory map:XHGV.HB.XDGDBX.XGVXGDVVDHDBH.DXGDVXDVHDHXB.H...B.DHB..DB.DHB..DHB.DH.B..............................>
##########################################################################################
##########################################################################################
timestamp: 4.0 seconds, process name:D1, process id:  29, page referenced:   6, status: loaded into free page
timestamp: 4.0 seconds, process name:H1, process id:  33, page referenced:  12, status: loaded into free page
timestamp: 4.0 seconds, process name:B4, process id: 105, page referenced:   1, status: page already in memory
timestamp: 4.0 seconds, process name:X0, process id:  23, page referenced:   5, status: loaded into free page
timestamp: 4.0 seconds, process name:G3, process id:  84, page referenced:   4, status: page already in memory
timestamp: 4.1 seconds, process name:D1, process id:  29, page referenced:   7, status: loaded into free page
timestamp: 4.1 seconds, process name:H1, process id:  33, page referenced:  11, status: loaded into free page
timestamp: 4.1 seconds, process name:B4, process id: 105, page referenced:   0, status: page already in memory
timestamp: 4.1 seconds, process name:X0, process id:  23, page referenced:   4, status: page already in memory
timestamp: 4.1 seconds, process name:G3, process id:  84, page referenced:   0, status: page already in memory
timestamp: 4.2 seconds, process name:D1, process id:  29, page referenced:   7, status: page already in memory
timestamp: 4.2 seconds, process name:H1, process id:  33, page referenced:  11, status: page already in memory
timestamp: 4.2 seconds, process name:B4, process id: 105, page referenced:   0, status: page already in memory
timestamp: 4.2 seconds, process name:X0, process id:  23, page referenced:   3, status: page already in memory
timestamp: 4.2 seconds, process name:G3, process id:  84, page referenced:   3, status: page already in memory
timestamp: 4.3 seconds, process name:D1, process id:  29, page referenced:   6, status: page already in memory
timestamp: 4.3 seconds, process name:H1, process id:  33, page referenced:  11, status: page already in memory
timestamp: 4.3 seconds, process name:B4, process id: 105, page referenced:   8, status: page already in memory
timestamp: 4.3 seconds, process name:X0, process id:  23, page referenced:   2, status: page already in memory
timestamp: 4.3 seconds, process name:G3, process id:  84, page referenced:   3, status: page already in memory
timestamp: 4.4 seconds, process name:D1, process id:  29, page referenced:   5, status: page already in memory
timestamp: 4.4 seconds, process name:H1, process id:  33, page referenced:  12, status: page already in memory
timestamp: 4.4 seconds, process name:B4, process id: 105, page referenced:  10, status: page already in memory
timestamp: 4.4 seconds, process name:X0, process id:  23, page referenced:   3, status: page already in memory
timestamp: 4.4 seconds, process name:G3, process id:  84, page referenced:   2, status: page already in memory
timestamp: 4.5 seconds, process name:D1, process id:  29, page referenced:   4, status: page already in memory
timestamp: 4.5 seconds, process name:H1, process id:  33, page referenced:  13, status: page already in memory
timestamp: 4.5 seconds, process name:B4, process id: 105, page referenced:   2, status: page already in memory
timestamp: 4.5 seconds, process name:X0, process id:  23, page referenced:  14, status: loaded into free page
timestamp: 4.5 seconds, process name:G3, process id:  84, page referenced:   4, status: page already in memory
timestamp: 4.6 seconds, process name:D1, process id:  29, page referenced:  24, status: loaded into free page
timestamp: 4.6 seconds, process name:H1, process id:  33, page referenced:  13, status: page already in memory
timestamp: 4.6 seconds, process name:B4, process id: 105, page referenced:   1, status: page already in memory
timestamp: 4.6 seconds, process name:X0, process id:  23, page referenced:  15, status: loaded into free page
timestamp: 4.6 seconds, process name:G3, process id:  84, page referenced:   3, status: page already in memory
timestamp: 4.7 seconds, process name:D1, process id:  29, page referenced:  25, status: page already in memory
timestamp: 4.7 seconds, process name:H1, process id:  33, page referenced:  12, status: page already in memory
timestamp: 4.7 seconds, process name:B4, process id: 105, page referenced:   8, status: page already in memory
timestamp: 4.7 seconds, process name:X0, process id:  23, page referenced:  15, status: page already in memory
timestamp: 4.7 seconds, process name:G3, process id:  84, page referenced:   1, status: page already in memory
timestamp: 4.8 seconds, process name:D1, process id:  29, page referenced:  25, status: page already in memory
timestamp: 4.8 seconds, process name:H1, process id:  33, page referenced:  21, status: loaded into free page
timestamp: 4.8 seconds, process name:B4, process id: 105, page referenced:   2, status: page already in memory
timestamp: 4.8 seconds, process name:X0, process id:  23, page referenced:   2, status: page already in memory
timestamp: 4.8 seconds, process name:G3, process id:  84, page referenced:   4, status: page already in memory
timestamp: 4.9 seconds, process name:D1, process id:  29, page referenced:  24, status: page already in memory
timestamp: 4.9 seconds, process name:H1, process id:  33, page referenced:  20, status: loaded into free page
timestamp: 4.9 seconds, process name:B4, process id: 105, page referenced:   6, status: page already in memory
timestamp: 4.9 seconds, process name:X0, process id:  23, page referenced:   5, status: page already in memory
timestamp: 4.9 seconds, process name:G3, process id:  84, page referenced:   0, status: page already in memory
##########################################################################################
<timestamp:5, process name:D1, process status:Exit, size in pages:31, service duration:4, memory map:XHGDHHBXXDGDBXDXGHXGDXDDHDBHXDXGDHXDHHDHXB.H...B.DHB..DB.DHB..DHB.DH.B..............................>
